Ticker,YEAR,Environmental ,Social,Governance,ESG_score,GVKEY,Address Line 1,Postal Code,City,Mining,Construction,Manufactuing,Transportation Public Utilities,Wholesale Trade,Retail Trade,Services,SIC code,Company Name,CIK Number,Country Code,Current Assets,Assets,Cash,Inventory,Current Marketable Securities,Current Liabilities,Liabilities,"Property, Plant and Equipment",Preferred/Preference Stock,Allowance for Doubtful Receivables ,Total Receivables ,Stockholders Equity,Cost of Goods Sold,Dividends - Preferred/Preference,Dividends ,Earnings Before Interest and Taxes,Earnings Per Share (Basic),Net Income (Loss),Net Income Adjusted for common stocks,Sales/Turnover (Net),Interest and Related Expense,Common Shares Outstanding,Total Debt Including Current,Price Close - Annual -,Net receivables,Total assets last year ,Net receivables last year,Inventory last year,Stockholder equity last year,Cost of Goods Sold last year,Common shares outstanding last year,Working capital,Current ratio,Quick ratio,Accounts receivable turnover,Average days to collect receivables,Inventory turnover,Average days to collect inventory,Debt to assets,Debt to equity,Number of times interest is earned,Net margin (or return on sales),Asset turnover ratio,Return on investment,Return on equity,Earnings per share,Book value per share,Price-Earnings (P/E) ratio,Dividend yield
TSN,2020,59.529,30.8343,87.477,59.32,10793,2200 West Don Tyson Parkway,72762-6999,Springdale,0,0,1,0,0,0,0,2011,TYSON FOODS INC -CL A,100493,USA,7598,34456,1420,3859,0,4234,19070,8128,0,26,1952,15254,36105,0,616,3626,5.68,2061,2061,43185,485,365,11868,59.48,1926,33097,2152,4108,14082,36214,366,3364,1.794520548,0.790269249,21.17949975,17.23364594,9.063637505,40.27080737,0.553459485,1.250163891,7.47628866,0.047724904,1.278551656,0.061018756,0.140509954,5.646575342,41.79178082,10.53381853,10.35642233
HL,2019,32.407,35.7618,87.477,51.9264,5560,"6500 North Mineral Drive, Suite 200",83815-9408,Coeur d'Alene,1,0,0,0,0,0,0,1040,HECLA MINING CO,719413,USA,179.124,2637.308,62.452,66.213,0,116.974,944.885,2440.079,0.039,0,38.421,1692.423,448.125,0.552,5.466,-36.727,-0.2,-99.557,-100.109,673.266,45.592,522.896,533.77,3.39,38.42,2703.94,25.82,87.53,1690.96,354.02,482.6,62.15,1.531314651,0.862354027,20.9609589,17.41332549,5.829533702,62.61221199,0.358276318,0.558303096,-0.805557993,-0.147871718,0.252100633,-0.037278554,-0.058850565,-0.190395413,3.236559469,-17.80505077,1.612389381
ABG,2019,0,12.5756,87.477,33.4172,144640,"2905 Premiere Parkway NW, Suite 300",30097,Duluth,0,0,0,0,0,1,0,5500,ASBURY AUTOMOTIVE GROUP INC,1144980,USA,1602.6,2911.3,3.5,985,0,1247,2265,975.3,0,1.4,348,646.3,6041.4,0,0,332.9,9.65,184.4,184.4,7210.3,93.4,19.28,1009,111.79,346.6,2695.4,342,1067.6,473.2,5771.4,19.35,355.6,1.285164395,0.280753809,20.94191112,17.42916384,5.886582871,62.00541265,0.778002954,3.504564444,3.564239829,0.025574525,2.572029893,0.065778444,0.329432782,9.564315353,33.52178423,11.68823861,0
ABG,2020,1.752,13.2104,87.477,34.2118,144640,"2905 Premiere Parkway NW, Suite 300",30097,Duluth,0,0,0,0,0,1,0,5500,ASBURY AUTOMOTIVE GROUP INC,1144980,USA,1405.7,3676.3,1.4,875.2,0,1223.4,2770.8,1273.6,0,1.2,337.4,905.5,5908.4,0,0,404.3,13.25,254.4,254.4,7131.8,74.8,19.285,1523.3,145.74,336.2,2911.3,346.6,985,646.3,6041.4,19.28,182.3,1.149010953,0.275952264,20.88986526,17.47258757,6.352435222,57.45827974,0.753692571,3.059966869,5.405080214,0.035671219,2.165219503,0.077236019,0.327877304,13.19159969,46.95359087,11.04793986,0
HA,2019,4.712,13.8452,87.477,35.4089,60902,"3375 Koapaka Street, Suite G-350",96819,Honolulu,0,0,0,1,0,0,0,4512,HAWAIIAN HOLDINGS INC,1172222,USA,874.706,4126.624,373.056,37.63,245.599,1075.216,3044.828,2949.317,0,0.651,161.572,1081.796,2060.369,0,6.261,327.477,4.72,223.984,223.984,2832.228,27.864,46.122,1362.154,29.29,160.92,3196.65,111.78,33.94,947.99,2066.33,48.54,-200.51,0.81351654,0.725041294,20.77174917,17.57194336,57.57633086,6.339410562,0.737849632,2.814604602,11.75269165,0.079084029,0.773486831,0.061170455,0.220697157,4.85633754,23.45509735,6.03129411,0.213758962
DENN,2019,16.128,16.5961,87.477,40.1267,19398,203 East Main Street,29319-9966,Spartanburg,0,0,0,0,0,1,0,5812,DENNYS CORP,852772,USA,52.733,460.387,3.372,1.325,3.649,95.581,598.451,267.896,0,0.274,27.488,-138.064,382.282,0,0,73.803,1.96,117.41,117.41,541.389,18.717,57.095,425.547,19.88,27.21,335.35,25.98,2.99,-133.35,467.16,61.53,-42.848,0.551710068,0.358177881,20.35679639,17.93012972,177.1874855,2.059964895,1.299886834,-4.334591204,3.943099856,0.216868093,1.360723455,0.295097501,-0.865172762,2.056397233,-2.418145197,9.667392897,0
BCC,2019,17.638,14.3894,84.979,39.0605,16486,"1111 West Jefferson Street, Suite 300",83702-5389,Boise,0,0,0,0,1,0,0,5031,BOISE CASCADE CO,1328581,USA,1022.764,1693.351,285.237,497.596,0,384.992,992.021,575.262,0,0.591,231.646,701.33,3965.776,0,54.283,135.676,2.07,80.925,80.925,4643.404,29.014,38.986,532.454,36.53,231.06,1581.25,228.18,533.05,672.59,4307.59,38.71,637.772,2.656585072,1.341046048,20.22212351,18.04953866,7.695709293,47.4290265,0.585833061,1.414485335,4.676225271,0.017427947,2.836012082,0.049425869,0.117801619,2.075745139,17.9892782,17.5984996,1.485984123
CENX,2020,49.532,23.0653,84.979,52.5702,62516,"One South Wacker Drive, Suite 1000",60606,Chicago,0,0,1,0,0,0,0,3350,CENTURY ALUMINUM CO,949157,USA,456,1399.6,81.6,291.1,2.7,240.3,853.5,905.3,0,1,61.3,546.1,1558.6,0,0,-80,-1.38,-123.3,-123.3,1605.1,31.6,90.056,334,11.03,60.3,1499.7,99.2,320.6,675,1787.5,89.19,215.7,1.897627965,0.601747815,20.12664577,18.13516292,5.095962073,71.62533684,0.609817091,1.562900568,-2.53164557,-0.076817644,1.10723278,-0.085055013,-0.201949062,-1.369148086,6.064004619,-8.056104461,0
WBA,2019,29.84,43.8634,91.24,55.0246,11264,108 Wilmot Road,60015,Deerfield,0,0,0,0,0,1,0,5912,WALGREENS BOOTS ALLIANCE INC,1618921,USA,18700,67598,1023,9333,189,25769,43446,13478,0,95,7226,23512,104644,0,1629,5718,4.32,3982,3982,136866,704,895.388,12348,51.19,7131,68124,6498,9565,26007,98932,952.13,-7069,0.72567814,0.323761108,20.08452564,18.17319495,11.07461107,32.95826803,0.642711323,1.847822389,8.122159091,0.02909415,2.016857989,0.05867877,0.160827157,4.447234048,26.25900727,11.51052529,31.82262161
GNK,2019,0,8.9782,83.594,30.9224,163930,"299 Park Avenue, 12th Floor",10171,New York,0,0,0,1,0,0,0,4412,GENCO SHIPPING & TRADING,1326200,MHL,223.195,1528.892,155.889,27.846,6.045,127.655,550.464,1288.078,0,0,15.74,978.428,290.915,0,20.951,-0.842,-1.34,-55.985,-55.985,389.496,31.955,41.754,494.233,10.62,15.74,1627.47,23.16,30.15,1053.31,218.45,41.64,95.54,1.748423485,1.391829541,20.02550129,18.22675971,10.0322436,36.3826891,0.360041128,0.562600416,-0.026349554,-0.143737035,0.246800589,-0.035474385,-0.055110452,-1.340829621,23.4331561,-7.920469411,1.972787194
ALTO,2019,0,14.6312,85.521,33.4473,163595,"1300 South Second Street, Suite 2060",61554,Pekin,0,0,1,0,0,0,0,2860,ALTO INGREDIENTS INC,778164,USA,232.064,612.495,18.997,60.6,0.615,160.398,385.45,356.872,0.001,0.039,74.307,219.78,1393.888,1.265,1.265,-45.391,-1.9,-88.949,-90.214,1424.881,20.769,55.509,268.423,0.65,74.27,659.98,68.24,57.82,299.77,1489.69,45.77,71.666,1.446801082,0.585294081,19.99692653,18.25280497,23.54142881,15.50458143,0.62931126,1.753799254,-2.185516876,-0.062425564,2.239542624,-0.139804711,-0.342407853,-1.602424832,3.959339927,-0.405635252,1.946153846
SBUX,2019,33.827,24.0326,93.739,50.5885,25434,2401 Utah Avenue South,98134,Seattle,0,0,0,0,0,1,0,5812,STARBUCKS CORP,829224,USA,5653.9,19219.6,2686.6,1529.4,70.5,6168.7,25450.6,6431.7,0,6.7,1020.3,-6232.2,19380.7,0,1801.6,3928.3,2.95,3599.2,3599.2,26508.6,331,1184.6,11167,88.42,1013.6,24156.4,1640.5,1400.5,1169.5,17843.6,1309.1,-514.8,0.916546436,0.611263313,19.97558494,18.27230597,13.22959828,27.58965104,1.324200296,-4.083726453,11.86797583,0.135774805,1.22227038,0.165953523,-1.421850001,3.038325173,-5.261016377,29.10155924,20.37548066
AMC,2019,0,10.6409,81.909,30.9124,177637,"One AMC Way, 11500 Ash Street",66211,Leawood,0,0,0,0,0,0,1,7830,AMC ENTERTAINMENT HOLDINGS,1411579,USA,673.1,13675.8,265,37.5,10.5,1933.2,12461.6,7445.2,0,0,265.9,1214.2,4663.5,0,82.4,235.8,-1.44,-149.1,-149.1,5471,340.8,103.85,10352.9,7.24,265.9,9495.8,284.2,35.2,1398,4454,103.48,-1260.1,0.348179185,0.280053797,19.89092892,18.35007311,128.2943604,2.845019835,0.911215432,10.26321858,0.691901408,-0.027252787,0.472215989,-0.012869202,-0.11415665,-1.435724603,11.69186326,-5.042749832,11.38121547
SEAS,2019,17.306,18.1681,85.099,40.2475,186392,6240 Sea Harbor Drive,32821,Orlando,0,0,0,0,0,0,1,7996,SEAWORLD ENTERTAINMENT INC,1564902,USA,169.149,2300.518,39.946,33.163,0.979,402.66,2089.626,1878.387,0,0,82.639,210.892,758.61,0,0,249.476,1.11,89.476,89.476,1398.244,88.778,78.254,1679.917,31.71,82.64,2115.6,57.98,35.81,265.19,809.76,83.23,-233.511,0.420078975,0.306869319,19.88684398,18.35384239,21.99730329,16.59294301,0.908328472,9.908512414,2.810110613,0.063991692,0.63324576,0.040522468,0.375884827,1.14340481,2.694967669,27.73296012,0
SBUX,2020,33.827,24.0326,93.739,50.5885,25434,2401 Utah Avenue South,98134,Seattle,0,0,0,0,0,1,0,5812,STARBUCKS CORP,829224,USA,7806.4,29374.5,4350.9,1551.4,281.2,7346.8,37173.9,14375.5,0,27.1,1395.4,-7805.1,19109.9,0,1436.6,1299.6,0.79,928.3,928.3,23518,437,1173.3,24820,85.92,1368.3,19219.6,1013.6,1529.4,-6232.2,19380.7,1184.6,459.6,1.062557848,0.816736538,19.74726059,18.48357641,12.40580369,29.42171335,1.265516009,-4.762770496,2.973913043,0.039471894,0.967936437,0.038206284,-0.132261902,0.79118725,-6.652262848,108.59629,16.72020484
PZZA,2020,16.793,25.2116,87.477,43.215,28397,2002 Papa John's Boulevard,40299-2367,Louisville,0,0,0,0,0,1,0,5812,PAPA JOHNS INTERNATIONAL INC,901491,USA,306.407,872.77,130.204,30.265,0,288.869,881.334,365.845,251.901,3.622,102.726,-30.277,1472.139,14.059,43.562,96.238,1.29,57.932,41.737,1813.234,17.022,32.545,513.572,84.85,99.1,730.72,85.39,27.53,-81.19,1330.09,31.89,17.538,1.060712641,0.793813113,19.65671852,18.56871479,50.94347262,7.164804071,1.009812436,-29.10902665,5.653742216,0.031949544,2.261609365,0.072257389,-1.039446652,1.780058381,-8.670394838,47.66697594,0.513400118
WBA,2020,29.84,43.8634,91.24,55.0246,11264,108 Wilmot Road,60015,Deerfield,0,0,0,0,0,1,0,5912,WALGREENS BOOTS ALLIANCE INC,1618921,USA,18073,87174,516,9451,230,27070,66038,35065,0,61,7132,20637,109466,0,1618,4164,0.52,456,456,139537,639,865.604,38189,38.02,7071,67598,7131,9333,23512,104644,895.39,-8997,0.667639453,0.288769856,19.65033094,18.57475078,11.6552385,31.31639048,0.757542386,3.199980617,6.516431925,0.00326795,1.803129765,0.005892539,0.02065732,0.526799784,23.841156,72.17163175,42.55654918
TSLA,2020,25.279,20.2842,84.979,43.567,184996,13101 Tesla Road,78725,Austin,0,0,1,0,0,0,0,3711,TESLA INC,1318605,USA,26717,52148,19384,4101,238,14248,28469,23375,0,0,1912,22225,22351,0,0,2184,0.74,721,690,31536,691,960,13347,705.67,1912,34309,1324,3552,6618,18402,181,12469,1.875140371,1.511370017,19.4907293,18.72685185,5.841108062,62.48814371,0.545926977,1.280944882,3.160636758,0.02286276,0.72951872,0.016678811,0.049994799,0.751041667,23.15104167,939.5883495,0
JACK,2019,14.709,12.8476,87.477,38.4066,13092,9357 Spectrum Center Boulevard,92123,San Diego,0,0,0,0,0,1,0,5812,JACK IN THE BOX INC,807882,USA,227.128,958.483,125.536,1.776,26.025,157.923,1696.067,391.934,0,2.965,45.235,-737.584,605.257,0,41.426,219.912,3.66,94.437,94.437,950.107,59.627,24.398,1275.148,91.12,42.27,823.4,55.73,1.86,-591.7,499.75,25.74,69.205,1.438219892,1.227376633,19.38993878,18.82419559,332.9246425,1.096344198,1.769532689,-2.299489956,3.688127862,0.099396173,1.066407839,0.105996858,-0.142087018,3.870686122,-30.23133044,23.54104599,0.454631255
DISH,2020,15.282,13.2709,83.022,37.2498,60900,9601 South Meridian Boulevard,80112,Englewood,0,0,0,1,0,0,0,4841,DISH NETWORK CORP,1001082,USA,7022.158,38239.947,3370.092,380.349,362.953,6084.746,24108.654,2286.604,0,72.278,1104.202,13780.155,10033.728,0,0,2882.033,3.36,1762.673,1762.673,15493.435,937.618,526.156,15822.41,32.34,1031.92,33230.94,569.08,322.9,11564.52,8503.23,523.04,937.412,1.154059348,0.783100724,19.35469706,18.85847135,28.5353495,12.79115225,0.630457307,1.749519799,3.073781647,0.113769025,0.433559332,0.049325623,0.139096122,3.350095789,26.19024586,9.653455315,0
HDSN,2020,1.42,10.0363,83.022,31.5562,30899,"300 Tice Boulevard, Suite 290",7677,Woodcliff Lake,0,0,0,0,1,0,0,5070,HUDSON TECHNOLOGIES INC,925528,USA,62.142,161.649,1.348,44.46,0,37.769,121.027,28.469,0,1.597,9.806,40.622,108.961,0,0,5.904,-0.12,-5.208,-5.208,147.605,12.33,43.348,91.92,1.09,8.21,180.15,7.35,59.24,45.11,140.71,42.63,24.373,1.645317588,0.253038206,18.97236504,19.23850818,2.101465767,173.6882921,0.748702436,2.979346167,0.478832117,-0.035283358,0.863694745,-0.030474051,-0.121494891,-0.120143951,0.937113592,-9.072450077,0
REYN,2020,0.332,18.4099,83.594,34.1716,35874,1900 West Field Court,60045,Lake Forest,0,0,1,0,0,0,0,2673,REYNOLDS CONSUMER PRODUCTS,1786431,USA,1053,4722,312,419,0,432,3107,673,0,0,309,1615,2228,0,124,615,1.75,363,363,3263,70,209.7,2297,30.04,309,4160,35,418,-818,2097,155.46,621,2.4375,1.4375,18.97093023,19.23996322,5.323775388,68.56036804,0.657983905,1.923839009,8.785714286,0.111247318,0.734744427,0.081738347,0.910915935,1.731044349,7.701478302,17.35368595,4.127829561
PFGC,2020,18.514,16.052,84.979,39.9054,28787,12500 West Creek Parkway,23238,Richmond,0,0,0,0,1,0,0,5140,PERFORMANCE FOOD GROUP CO,1618673,USA,3453.9,7719.7,420.7,1549.4,0,2618.7,5709.1,1920.2,0,86.7,1415.1,2010.6,20960.2,0,0,138.3,-1.01,-114.1,-114.1,23981.7,116.9,131.3,3019.7,29.14,1328.4,4653.5,1205.3,1356.9,1298.2,16997,103.8,835.2,1.318936877,0.667926834,18.93018116,19.28137913,14.4239755,25.30509012,0.739549464,2.839500647,1.183062447,-0.004757794,3.876394142,-0.018443087,-0.068967602,-0.869002285,15.31302361,-33.53270815,0
AMZN,2019,15.947,28.7485,84.287,43.044,64768,410 Terry Avenue North,98109-5210,Seattle,0,0,0,0,0,1,0,5961,AMAZON.COM INC,1018724,USA,96334,225248,36092,19868,19205,87812,163188,97846,0,718,17663,62060,150386,0,0,14177,23.46,11588,11588,280522,1600,498,77535,1847.84,16945,162648,12815,16655,43549,127018,491,8522,1.097048239,0.822689382,18.85228495,19.36104833,8.235139501,44.32226072,0.72448146,2.62951982,8.860625,0.041308703,1.44637738,0.059747974,0.219450994,23.26907631,124.6184739,79.41183293,0
PZZA,2019,16.793,35.127,87.477,46.5144,28397,2002 Papa John's Boulevard,40299-2367,Louisville,0,0,0,0,0,1,0,5812,PAPA JOHNS INTERNATIONAL INC,901491,USA,181.546,730.721,27.911,27.529,0,207.945,790.459,369.353,251.133,7.341,92.735,-81.188,1330.092,12.499,41.26,80.613,-0.24,4.866,-7.633,1619.61,20.593,31.894,525.231,63.15,85.39,570.95,87.31,27.2,-317.36,1304.9,31.37,-26.399,0.873048162,0.544879656,18.75634047,19.46008607,48.6064792,7.509286952,1.081752132,-9.736155589,3.914582625,0.003004427,2.488509001,0.007476544,-0.02441864,0.152567881,-10.419546,413.9141184,0.653365004
ADT,2020,20.296,18.5611,83.594,40.8711,32930,1501 Yamato Road,33431,Boca Raton,0,0,0,0,0,0,1,7380,ADT INC,1703056,USA,967.394,16116.936,204.998,216.151,2.749,1296.092,13077.6,3127.352,0,68.342,395.415,3039.336,1516.528,0,111.853,161.586,-0.81,-632.193,-632.193,5314.787,708.189,825.758,9638.927,7.85,327.07,16083.65,242.91,138.4,3184.37,1390.28,753.62,-328.698,0.746393003,0.412640461,18.64902979,19.57206375,8.55463953,42.66690592,0.811419739,4.302781923,0.228167904,-0.118949828,0.330104986,-0.039265931,-0.203156447,-0.76559113,3.680661889,-10.25351483,14.24878981
CF,2019,58.562,45.4051,93.739,65.939,163946,"4 Parkway North, Suite 400",60015,Deerfield,0,0,1,0,0,0,0,2870,CF INDUSTRIES HOLDINGS INC,1324404,USA,974,12172,287,351,0,665,6535,8450,0,0,242,2897,2553,0,265,926,2.24,493,493,4590,239,216.024,4240,47.74,242,12661,254,309,2958,2640,222.82,309,1.464661654,0.795488722,18.50806452,19.7211329,7.736363636,47.17978848,0.53688794,2.255781843,3.874476987,0.107407407,0.369669392,0.039705231,0.168403074,2.282153835,13.41054698,20.91883521,5.550900712
CAH,2020,28.028,43.1076,93.739,55.0045,2751,7000 Cardinal Place,43017,Dublin,0,0,0,0,1,0,0,5122,CARDINAL HEALTH INC,721371,USA,25940,40766,2771,13198,0,23615,38974,2792,0,0,8276,1789,145654,0,570,1655,-12.61,-3696,-3696,152922,238,293,7220,52.19,8276,40963,8267,12822,6328,138260,299,2325,1.098454372,0.467795892,18.48781962,19.74272832,11.19554189,32.6022629,0.9560418,21.78535495,6.953781513,-0.024169184,3.742172301,-0.090445252,-0.910681286,-12.61433447,6.105802048,-4.137356602,10.9216325
TITN,2019,0,12.1221,79.982,30.7615,178973,644 East Beaton Drive,58078-2648,West Fargo,0,0,0,0,0,1,0,5500,TITAN MACHINERY INC,1409171,USA,727.546,975.343,43.721,597.394,0,494.163,630.239,233.843,0,5.123,72.776,345.104,1027.753,0,0,25.096,0.63,13.953,13.732,1305.171,9.806,22.335,158.025,12.21,67.65,792.44,73.97,491.09,335.31,1006.22,22.22,233.383,1.47227939,0.225379075,18.43201525,19.80250097,1.888411773,193.2841159,0.646171654,1.826229195,2.559249439,0.010690553,1.476619019,0.015785874,0.041013265,0.624714574,15.45126483,19.54492582,0
PARR,2020,15.192,22.4909,83.594,40.4788,22447,"825 Town & Country Lane, Suite 1500",77024,Houston,0,0,1,0,0,0,0,2911,PAR PACIFIC HOLDINGS INC,821483,USA,636.469,2133.861,68.309,429.855,3.489,878.68,1887.587,1289.931,0,0,111.657,246.274,3230.17,0,0,-231.578,-7.68,-409.086,-409.086,3124.87,70.222,54.003,1079.329,13.98,111.66,2700.56,228.72,615.87,648.24,5124.38,53.25,-242.211,0.724346747,0.208784768,18.36106704,19.87901897,6.177857467,59.08197169,0.884587609,7.664580914,-3.297798411,-0.130912966,1.29275874,-0.169238881,-0.914655332,-7.57524582,4.560376275,-1.845484666,0
DPZ,2019,0,8.948,87.477,32.21,160211,30 Frank Lloyd Wright Drive,48105,Ann Arbor,0,0,0,0,0,1,0,5812,DOMINO'S PIZZA INC,1286681,USA,787.617,1382.092,190.615,52.955,209.269,453.831,4797.851,471.666,0,2.856,210.26,-3415.759,2156.345,0,105.605,629.916,9.83,400.709,400.709,3618.774,150.818,38.934,4350.498,293.78,207.4,907.39,188.21,45.98,-3039.92,2076.52,40.98,333.786,1.735485236,1.338136884,18.29465383,19.95118374,43.5911457,8.373260077,3.47144112,-1.404622223,4.176663263,0.110730596,3.16121638,0.350043372,-0.12414155,10.29200699,-87.7320337,28.54448121,0.359469671
DPZ,2020,0,8.948,87.477,32.21,160211,30 Frank Lloyd Wright Drive,48105,Ann Arbor,0,0,0,0,0,1,0,5812,DOMINO'S PIZZA INC,1286681,USA,869.384,1567.168,168.821,66.683,217.453,470.819,4867.573,525.632,0,1.793,244.56,-3300.405,2457.88,0,122.183,725.642,12.61,491.296,491.296,4117.411,172.166,38.868,4357.002,383.46,242.77,1382.09,207.4,52.96,-3415.76,2156.35,38.93,398.565,1.846535505,1.336056956,18.29269387,19.9533214,41.08690019,8.883610062,3.10596758,-1.474841118,4.214781083,0.119321583,2.792167386,0.333165834,-0.14630254,12.64011526,-84.91316764,30.33674868,0.318632973
DAL,2019,51.767,43.3495,93.739,62.9917,3851,PO Box 20706,30320-6001,Atlanta,0,0,0,1,0,0,0,4512,DELTA AIR LINES INC,27904,USA,8249,64532,2882,1251,212,20204,49174,36937,0,13,2854,15358,34044,0,981,6618,7.32,4767,4767,47007,301,642.771,17255,58.48,2841,60266,2302,1055,13687,33181,679.94,-11955,0.408285488,0.293753712,18.27999222,19.96718574,29.52645273,12.3617965,0.762009546,3.201849199,21.98671096,0.101410428,0.75332938,0.076395455,0.328249268,7.416327121,23.89342394,7.885304821,16.7749658
MDXG,2019,0,17.3821,84.979,34.1817,178157,"1775 West Oak Commons Court, NE",30062,Marietta,0,0,1,0,0,0,0,2836,MIMEDX GROUP INC,1376339,USA,123.245,167.166,69.069,9.104,0,67.322,132.768,15.725,0,0,32.345,34.398,41.116,0,0,6.298,-0.24,-25.58,-25.58,299.255,5.762,110.819,69.743,7.58,32.35,122.84,0.45,15.99,49.66,30.5,109.1,55.923,1.830679421,1.506402068,18.2472561,20.00300747,3.276958636,111.3837679,0.794228491,3.859759288,1.093023256,-0.085478939,2.063784887,-0.176410143,-0.608627376,-0.230826844,0.310398036,-32.83846833,0
EGLE,2020,0,10.006,83.594,31.2645,163685,"300 First Stamford Place, 5th Floor",6902,Stamford,0,0,0,1,0,0,0,4412,EAGLE BULK SHIPPING INC,1322439,MHL,118.265,967.127,69.928,11.625,18.846,82.441,496.709,821.994,0,2.357,13.843,470.418,203.735,0,0,-2.912,-3.4,-35.063,-35.063,275.133,35.393,11.662,460.477,19,11.49,1002.09,18.68,15.82,481.5,218.44,71.5,35.824,1.434541066,1.216142453,18.23884654,20.01223045,14.84678448,24.58444793,0.51359232,1.055888593,-0.082276156,-0.127440183,0.279433907,-0.035611108,-0.07366811,-3.006602641,40.33767793,-6.319425035,0
BG,2020,37.36,22.2793,87.477,49.0896,144435,1391 Timberlake Manor Parkway,63017,Saint Louis,0,0,1,0,0,0,0,2040,BUNGE LTD,1144519,BMU,16181,23655,352,7172,1192,10985,17035,4643,690,93,2306,6069,38186,34,310,1429,7.97,1145,1121,41355,266,139.79,5276,65.58,2213,18317,2323,5038,5913,40044,141.81,5196,1.473008648,0.342011834,18.23412698,20.01741023,6.254873055,58.35450165,0.720143733,2.806887461,5.372180451,0.0276871,1.970599447,0.054560183,0.191120013,8.190857715,38.47914729,8.006487511,4.72705093
JBLU,2020,22.32,28.8392,93.739,48.3553,147305,27-01 Queens Plaza North,11101,Long Island City,0,0,0,1,0,0,0,4512,JETBLUE AIRWAYS CORP,1158463,USA,3345,13406,1918,71,1135,2674,9455,9203,0,2,98,3951,3547,0,0,-1997,-4.88,-1354,-1354,2957,179,316,5728,14.54,96,11918,230,81,4799,5359,282,671,1.250934929,1.1776365,18.14110429,20.12005411,46.67105263,7.820693544,0.705281217,2.393065047,-11.15642458,-0.457896517,0.233533407,-0.106934134,-0.309485714,-4.284810127,12.50316456,-3.39338257,0
MPC,2019,46.814,39.601,87.477,58.0022,186989,539 South Main Street,45840-3229,Findlay,0,0,1,0,0,0,0,2911,MARATHON PETROLEUM CORP,1510295,USA,20170,98556,1527,10243,2,16147,55449,48074,0,17,7872,33694,110994,0,1402,6091,4,2637,2636,123949,1442,649,31317,60.25,7855,92940,5844,9837,35175,86623,680,4023,1.249148449,0.581160587,18.09606541,20.17013046,11.05517928,33.01619907,0.562614148,1.645663916,4.223994452,0.021274879,1.294533567,0.027541045,0.076580174,4.063174114,51.91679507,14.82830868,23.26970954
CAH,2019,28.028,43.1076,93.739,55.0045,2751,7000 Cardinal Place,43017,Dublin,0,0,0,0,1,0,0,5122,CARDINAL HEALTH INC,721371,USA,25747,40963,2531,12822,0,24109,34633,2356,0,193,8460,6328,138260,0,575,1678,4.55,1363,1363,145534,294,299,8028,47.1,8267,39951,7826,12308,6059,129206,309,1638,1.067941433,0.447882533,18.08662151,20.18066225,11.00358138,33.17101837,0.845470302,5.472977244,5.707482993,0.009365509,3.597251403,0.033690091,0.220069428,4.558528428,21.1638796,10.33228173,12.20806794
LNG,2019,10.359,47.6421,82.48,46.8665,29453,"700 Milam Street, Suite 1900",77002,Houston,1,0,0,0,0,0,0,1311,CHENIERE ENERGY INC,3570,USA,4212,35492,2474,312,520,1874,33057,30112,0,0,491,-14,6233,0,0,2384,2.53,648,648,9730,1846,253.6,31258,61.07,491,31987,585,316,-526,5210,257,2338,2.247598719,1.859658485,18.08550186,20.18191161,19.85031847,18.38761431,0.93139299,-2361.214286,1.291440953,0.06659815,0.288386016,0.019205975,-2.4,2.555205047,-0.055205047,23.90023457,0
CENX,2019,16.37,22.1886,84.979,41.2333,62516,"One South Wacker Drive, Suite 1000",60606,Chicago,0,0,1,0,0,0,0,3350,CENTURY ALUMINUM CO,949157,USA,487.3,1499.7,38.9,320.6,0.8,233.7,824.7,974.4,0,1,100.2,675,1787.5,0,0,-81.5,-0.91,-80.8,-80.8,1836.6,25.1,89.186,314.8,7.515,99.2,1537.5,104.2,343.8,762.2,1824.5,88.1,253.6,2.085151904,0.594351733,18.05899705,20.21153218,5.380794702,67.83384615,0.549909982,1.221777778,-3.247011952,-0.043994337,1.209403398,-0.053206901,-0.112440857,-0.905971789,7.568452448,-8.294960272,0
OXM,2019,1.238,9.5526,87.477,32.8237,8219,"999 Peachtree Street, NE, Suite 688",30309,Atlanta,0,0,1,0,0,0,0,2300,OXFORD INDUSTRIES INC,75288,USA,288.826,1033.369,52.46,152.229,0,177.779,504.771,478.698,0,0.555,58.724,528.598,438.548,0,25.215,97.06,4.09,68.493,68.493,1137.647,1.245,17.04,342.084,69.4,58.17,727.25,68.38,160.66,478.36,429.84,16.96,111.047,1.624635081,0.622283847,17.97940735,20.30100286,2.803217755,130.2075086,0.488471204,0.954924158,77.95983936,0.060205846,1.292326165,0.07780559,0.136039438,4.019542254,31.02100939,17.26564758,0.36332853
HL,2020,44.881,48.5187,93.739,62.4183,5560,"6500 North Mineral Drive, Suite 200",83815-9408,Coeur d'Alene,1,0,0,0,0,0,0,1040,HECLA MINING CO,719413,USA,284.681,2667.724,129.83,96.544,0,149.785,965.384,2355.847,0.039,0,39.193,1702.34,386.78,0.552,9.152,63.007,-0.03,-16.79,-17.342,691.873,45.001,531.666,533.649,6.48,39.19,2637.31,38.42,66.21,1692.42,448.13,522.9,134.896,1.900597523,1.128437427,17.82948074,20.47171229,4.75294002,76.79457314,0.361875516,0.567092355,1.400124442,-0.024267459,0.260836406,-0.006329837,-0.009891715,-0.031579977,3.201824078,-205.1933103,1.412345679
