Ticker,YEAR,Environmental ,Social,Governance,ESG_score,GVKEY,Address Line 1,Postal Code,City,Mining,Construction,Manufactuing,Transportation Public Utilities,Wholesale Trade,Retail Trade,Services,SIC code,Company Name,CIK Number,Country Code,Current Assets,Assets,Cash,Inventory,Current Marketable Securities,Current Liabilities,Liabilities,"Property, Plant and Equipment",Preferred/Preference Stock,Allowance for Doubtful Receivables ,Total Receivables ,Stockholders Equity,Cost of Goods Sold,Dividends - Preferred/Preference,Dividends ,Earnings Before Interest and Taxes,Earnings Per Share (Basic),Net Income (Loss),Net Income Adjusted for common stocks,Sales/Turnover (Net),Interest and Related Expense,Common Shares Outstanding,Total Debt Including Current,Price Close - Annual -,Net receivables,Total assets last year ,Net receivables last year,Inventory last year,Stockholder equity last year,Cost of Goods Sold last year,Common shares outstanding last year,Working capital,Current ratio,Quick ratio,Accounts receivable turnover,Average days to collect receivables,Inventory turnover,Average days to collect inventory,Debt to assets,Debt to equity,Number of times interest is earned,Net margin (or return on sales),Asset turnover ratio,Return on investment,Return on equity,Earnings per share,Book value per share,Price-Earnings (P/E) ratio,Dividend yield
VTOL,2019,0,12.5756,71.824,28.1863,8092,"3151 Briarpark Drive, Suite 700, 7th Floor",77042,Houston,0,0,0,1,0,0,0,4522,BRISTOW GROUP INC,1525221,USA,524.151,1945.261,196.662,82.419,2.459,297.978,1369.26,1182.716,149.785,0.368,180.683,576.27,969.316,25.788,25.788,10.015,-64.34,-697.186,-722.974,1242.986,78.002,11.236,867.203,0.0086,180.32,2652.6,215.17,121.31,805.22,1143.7,35.92,226.173,1.759025834,1.273369175,6.285802422,58.06736761,9.515739045,38.35750416,0.703895261,2.376073715,0.128394144,-0.5608961,0.540680112,-0.303265366,-1.009324715,-62.0493058,37.95701317,-0.000138599,2998.604651
GOOGL,2020,44.669,33.2527,91.24,56.433,160329,1600 Amphitheatre Parkway,94043,Mountain View,0,0,0,0,0,0,1,7370,ALPHABET INC,1652044,USA,174296,319616,26465,728,110229,56834,97072,96960,0,789,31384,222544,71053,0,0,41224,59.15,40269,40269,182527,353,675.222,26873,1752.64,30595,275909,27492,999,201442,60245,688.34,117462,3.066755815,2.943466939,6.284607571,58.07840758,82.28488709,4.435808481,0.303714457,0.436192393,116.7818697,0.220619415,0.612995256,0.135238655,0.189954385,59.63816345,329.5864175,29.38789357,0
KAI,2020,36.092,17.8658,87.477,47.1985,25922,One Technology Park Drive,1886,Westford,0,0,1,0,0,0,0,3550,KADANT INC,886346,USA,289.82,927.571,65.682,106.814,0.958,134.688,430.666,110.102,0,2.977,99.116,495.359,345.513,0,11.045,84.588,4.81,55.196,55.196,635.028,7.423,11.542,260.068,140.98,96.14,939.39,106.2,102.72,425.7,398.65,11.41,155.132,2.151787836,1.208563495,6.276840961,58.15027054,3.297918238,110.6758791,0.464294377,0.869401787,11.3953927,0.086919002,0.680279877,0.059129248,0.119853343,4.782186796,42.91795183,29.48023697,0.078344446
NTRA,2020,14.376,12.9081,83.594,37.0184,24176,"13011 McCallen Pass Building A, Suite 100",78753,San Carlos,0,0,0,0,0,0,1,8071,NATERA INC,1604821,USA,862.663,932.153,48.668,20.031,688.793,199.053,445.917,54.747,0,4.22,78.565,486.236,194.007,0,0,-215.277,-2.84,-229.743,-229.743,391.005,15.082,86.223,231.039,99.52,74.35,582.66,50.43,12.39,278.71,167.74,78.01,663.61,4.333835712,4.078340944,6.267110114,58.24055958,11.96798371,30.49803615,0.478373186,0.917079361,-14.27377006,-0.587570491,0.516241939,-0.30332853,-0.600677695,-2.664521067,5.639284182,-37.35005184,0
SYNA,2020,16.793,15.4172,84.979,39.1208,142814,1109 McKay Drive,95131,San Jose,0,0,1,0,0,0,0,3674,SYNAPTICS INC,817720,USA,1077.6,1693.8,763.4,102,0,244.1,874.7,105.3,0,0,195.7,819.1,724.4,0,0,104.3,3.54,118.8,118.8,1333.9,22.5,34.122,607.7,60.12,195.7,1409.8,230,158.7,657.3,876.8,33.35,833.5,4.414584187,3.929127407,6.266854592,58.24293425,5.557345608,65.67883766,0.5164128,1.06787938,4.635555556,0.089062149,0.85958242,0.076556257,0.160931997,3.481624758,24.00504074,17.2678,0
KMT,2019,22.622,25.786,87.477,45.3476,6386,"525 William Penn Place, Suite 3300",15219,Pittsburgh,0,0,1,0,0,0,0,3540,KENNAMETAL INC,55242,USA,1190.827,2656.269,182.015,571.576,0,461.726,1281.565,934.895,0,10.083,379.855,1335.172,1443.631,0,65.746,345.7,2.94,241.925,241.925,2375.234,32.994,82.421,592.474,36.99,369.77,2925.74,389.48,525.47,1194.33,1438.08,81.65,729.101,2.579077202,1.19505291,6.256790254,58.33662073,2.631851354,138.685644,0.482468078,0.959850117,10.47766261,0.101853123,0.851031949,0.086680262,0.191282711,2.935234952,16.1994152,12.60205762,1.777399297
HRI,2019,0,12.5756,87.477,33.4172,26749,27500 Riverview Center Boulevard,34134,Bonita Springs,0,0,0,0,0,0,1,7350,HERC HOLDINGS INC,1364479,USA,399.7,3817,33,0,0,323.1,3172.7,3009.1,0,0,306.7,644.3,986.6,0,0,248.2,1.66,47.5,47.5,1999,119.9,28.8,2412.2,48.94,306.7,3610.2,332.4,17.9,572.7,1008.3,28.5,76.6,1.237078304,1.051377283,6.255672039,58.34704852,110.2346369,3.311118995,0.831202515,4.924258886,2.070058382,0.023761881,0.538291685,0.012790823,0.078060805,1.649305556,22.37152778,29.67309474,0
TSE,2019,54.576,25.9069,84.979,55.1957,187551,"1000 Chesterbrook Boulevard, Suite 300",19312,Berwyn,0,0,1,0,0,0,0,2821,TRINSEO PLC,1519061,IRL,1491.1,2758.8,456.2,438.2,1.2,527.6,2089.9,697.2,0,5.3,570.8,668.9,3317,0,64.2,107.5,2.28,92,92,3775.8,39.3,39,1245.8,37.21,565.5,2726.8,642,510.4,768.7,3968.6,41.6,963.5,2.826194086,1.938779378,6.253913043,58.3634594,6.993464052,52.19158879,0.75753951,3.124383316,2.735368957,0.024365697,1.37662243,0.033542365,0.127991096,2.358974359,17.15128205,15.77380435,1.72534265
HEI,2020,0,12.5756,83.594,32.1195,5567,3000 Taft Street,33021,Hollywood,0,0,1,0,0,0,0,3724,HEICO CORP,46619,USA,1165.625,3547.711,406.852,463.205,0,241.161,1315.896,225.951,0,12.738,270.862,1980.177,1017.215,0,21.552,377.163,2.33,313.984,313.984,1787.009,13.159,135.118,798.125,105.05,258.12,2969.21,313.79,420.32,1666.54,1159.25,134.5,924.464,4.833389313,2.757394438,6.249266493,58.40685469,2.302628675,158.5144856,0.370914091,0.664534534,28.66198039,0.175703648,0.548421256,0.096359615,0.172200914,2.323776255,14.65516808,45.20658983,0.205159448
BAX,2020,62.519,48.821,93.739,68.3935,2086,One Baxter Parkway,60015,Deerfield,0,0,1,0,0,0,0,2834,BAXTER INTERNATIONAL INC,10456,USA,8411,20019,3730,1916,6,3333,11293,5325,0,125,2077,8689,6120,0,488,1856,2.17,1102,1102,11673,162,504.915,6804,80.24,1952,18193,1784,1653,7882,5657,506.16,5078,2.523552355,1.706570657,6.248929336,58.410006,3.429532082,106.4285131,0.564114092,1.299689262,11.45679012,0.094405894,0.610959908,0.057678216,0.13300344,2.182545577,17.20883713,36.7644098,6.081754736
